,pollutant,season,NMB,NMAE,MB [ug/m3],RMSE [ug/m3],r,gradient
0,co,premonsoon,-0.6423667966623781,0.6423667966623781,-643.013082887471,825.3874511429212,0.4407065151534643,0.2957888539222909
6,co,monsoon,-0.5537143777223908,0.5537143777223908,-428.0318956462832,566.8188553015254,0.12244339900066999,0.3663718861948826
12,co,postmonsoon,-0.6543778355996405,0.6543778355996405,-1439.0949336487101,2271.7640123090423,0.29334524551592567,0.2214069081129158
18,co,winter,-0.5171647528443386,0.6114069772559464,-702.6451354289123,1162.861027152181,-0.19901583679365506,0.32942707494238477
24,co,all seasons,-0.6016832609315415,0.6260398955863901,-790.7574829847,1344.9653899010332,0.421169215435754,0.2612906705933439
1,no2,premonsoon,0.14490598361420992,0.9467222997251226,6.345657268475367,57.053236399713356,0.2726906650741793,0.8183588725817702
7,no2,monsoon,0.4558304436715547,1.004074741460815,10.655174028559687,31.9227174840516,0.07659630248237044,1.1931260597526243
13,no2,postmonsoon,0.6463280401271622,1.4404804148413557,35.81061801182372,96.60193698268328,0.1456184989074101,1.2986570413013303
19,no2,winter,0.3117815962140718,0.9777120270390036,16.85230562941081,66.2428319495483,0.29875161120010235,0.999588037728398
25,no2,all seasons,0.3888135962523269,1.1131707350334472,17.22829495116016,66.90820202621819,0.2977563934834752,1.0553068113800408
2,o3,premonsoon,1.592608264696764,1.6738820967848824,74.8181083771346,91.28442570361008,-0.5159425932098184,1.885265821288925
8,o3,monsoon,2.918464534508758,2.918464534508758,64.1091851495709,66.00241523797162,-0.12064933960770702,3.207119495839695
14,o3,postmonsoon,2.9623750779132867,2.980445336415195,97.60113595831112,112.7204390074663,-0.7542551945468088,3.148320293636557
20,o3,winter,2.865742283756313,2.9160194432504,70.76504142816223,87.05462867413158,-0.5508013261971394,3.423109891754138
26,o3,all seasons,2.4209157033244373,2.466193366163712,77.07266542591677,91.21189544053283,-0.17272263256005843,2.510369182657217
5,pm10,premonsoon,0.15606419017149872,0.5930240387481042,32.32449390136475,133.46907458829548,0.10995693093812464,0.8498996405810868
11,pm10,monsoon,-0.20964786068404362,0.27718690741400576,-24.77353841231009,45.759781590607325,0.6884679299411457,0.7159715684795773
17,pm10,postmonsoon,-0.13603061627252827,0.36021153475611983,-41.17765166919473,122.39253339535047,0.6572112113058047,0.793078315053801
23,pm10,winter,-0.24935276831074957,0.43409738383147844,-63.925818128089695,130.8284471175043,-0.8543008490190478,0.6843315141974948
29,pm10,all seasons,-0.07843024496365854,0.43974920188868455,-17.104179314777603,115.16690509485265,0.5085745722261983,0.7838162080128626
4,pm25,premonsoon,0.1183852805992791,0.3074949542593922,9.866354794746456,33.7983784791481,0.6223936008514277,0.9975823597592375
10,pm25,monsoon,0.4061501895738656,0.6459944533749434,18.7461941268575,36.240808831401,0.0908135788244967,1.03632906959607
16,pm25,postmonsoon,0.1926758026683759,0.28250646653339273,32.84227870683734,62.6783880489355,0.8379093739915038,1.1513879830684774
22,pm25,winter,0.004580337502311825,0.27801199929222414,0.7075000921731881,52.348754094276494,0.6852511778220904,0.9932463915853806
28,pm25,all seasons,0.13326358387784357,0.3201139463420763,15.26160638697608,47.79712090008766,0.8394662169682542,1.0704275016852698
3,so2,premonsoon,0.24786015402810782,0.8483859948252307,2.8386980191787528,12.530169115828425,0.04339626662699805,0.8804650480465246
9,so2,monsoon,0.2689125721206086,1.3813651106736484,3.9558783172671625,34.26792877810491,-0.18052097469874107,0.19903067595296772
15,so2,postmonsoon,2.364304722255993,2.444575438177333,33.10514404517137,48.79487029497051,0.5079115998305231,3.275521993852035
21,so2,winter,1.8482353965183402,2.1505818412274924,27.207273668998244,43.31935972589778,0.03794573070074944,1.882594650355169
27,so2,all seasons,1.3258629832301512,1.8296975654954533,18.466596654819455,39.02197188033313,0.0589309214137702,1.06285207877365
