,city,location,latitude,longitude
0,Agra,Sanjay Palace,27.19865833,78.00598056
1,Delhi,IHBAS,28.6821,77.305
2,Delhi,Mandir Marg,28.6341,77.2005
3,Delhi,NSIT Dwarka,28.591,77.05
4,Delhi,"Punjabi Bagh, Delhi - DPCC",28.6683,77.1167
5,Delhi,R K Puram,28.5648,77.1744
6,Delhi,Income Tax Office,28.6235,77.2494
7,Delhi,Delhi Technological University,28.744,77.12
8,Delhi,Anand Vihar,28.6508,77.3152
9,Delhi,"Shadipur, Delhi - CPCB",28.6517,77.1581
10,Dhaka,Dhaka,23.796373,90.424614
11,Faridabad,Sector16A Faridabad,28.41012222,77.313775
12,Gaya,Collectorate - Gaya - BSPCB,24.7489694,84.9438395
13,Gurgaon,Vikas Sadan Gurgaon - HSPCB,28.4501285,77.0263051
14,Haldia,Haldia - WBPCB,22.06047,88.109737
15,Islamabad,Islamabad,33.7235,73.11822
16,Jaipur,VK Industrial Area Jaipur - RSPCB,26.9738778,75.7738777777777
17,Jodhpur,Collectorate Jodhpur - RSPCB,26.2920639,73.0379111111111
18,Kanpur,Nehru Nagar,26.4703088,80.32517490000002
19,Karachi,Karachi,24.8415,67.0091
20,Kolkata,"Rabindra Bharati University, Kolkata - WBSPCB",22.627875,88.3804
21,Kolkata,US Diplomatic Post: Kolkata,22.56263,88.36304
22,Lahore,Lahore,31.560078,74.33589
23,Lucknow,Central School,26.85272778,80.99632778
24,Lucknow,"Lalbagh, DN Park",26.84578611,80.93874444
25,Muzaffarpur,Collectorate - Muzaffarpur - BSPCB,26.0762,85.4115
26,Panchkula,Sector 6 Panchkula - HSPCB,30.7057778,76.8531805555555
27,Patna,IGSC Planetarium Complex - Patna - BSPCB,25.3636,85.0755
28,Peshawar,Peshawar,34.00585,71.53775
29,Rohtak,"MD University, Rohtak - HSPCB",28.876028,76.61946400000002
30,Varanasi,Ardhali Bazar,25.35055556,82.97833333
